college_tier,cgpa,internships,github_projects,backlogs,hackathons,certifications,skills,advanced_skills,intermediate_skills,basic_skills,aptitude_score,job_role,salary_lpa
Tier 2,7.6,2,1,1,1,3,"Git, Java, TensorFlow, PyTorch",2,1,1,60.4,ML Engineer,15.83
Tier 1,5.89,1,2,0,1,2,TensorFlow,1,0,0,42.0,Junior Developer,6.03
Tier 1,5.62,0,4,1,0,1,"HTML/CSS, SQL",0,0,2,41.6,Junior Developer,4.73
Tier 3,7.47,1,2,4,1,1,"AWS, Deep Learning",1,1,0,50.2,Data Scientist,9.66
Tier 1,7.93,0,2,1,2,0,"PyTorch, Docker, TensorFlow, Python",2,2,0,60.3,ML Engineer,16.17
Tier 3,8.07,2,1,1,1,1,"Excel, Java",0,1,1,61.4,Backend Developer,9.3
Tier 2,6.91,0,4,1,0,0,"Python, React",0,2,0,54.4,Software Engineer,8.03
Tier 2,6.64,0,2,1,1,1,"TensorFlow, Excel, Deep Learning, Linux, DSA",3,0,2,64.0,Data Analyst,10.1
Tier 2,6.36,3,1,0,3,2,"Excel, DSA, Java, Docker",1,2,1,51.6,Backend Developer,9.9
Tier 2,6.04,1,2,2,1,1,"Node.js, Deep Learning, Excel",1,1,1,46.6,Data Analyst,10.74
Tier 2,6.77,0,2,2,2,2,"TensorFlow, Excel",1,0,1,53.2,Data Analyst,9.85
Tier 1,8.11,0,0,0,1,1,"JavaScript, Docker, Django, Node.js, TensorFlow, Git",1,3,2,54.4,Web Developer,15.54
Tier 2,5.9,1,1,2,3,1,"Java, SQL, Linux, Machine Learning",1,1,2,54.6,Junior Developer,5.57
Tier 3,8.43,0,5,0,2,0,React,0,1,0,60.1,Software Engineer,9.36
Tier 2,8.26,0,2,1,3,1,"Python, TensorFlow, Excel",1,1,1,69.8,Data Analyst,13.46
Tier 3,6.71,2,2,1,0,1,"Java, DSA, Deep Learning, JavaScript",2,1,1,53.6,Junior Developer,9.01
Tier 2,7.57,2,2,0,3,0,"Node.js, Machine Learning",1,1,0,56.6,Data Scientist,16.02
Tier 1,5.63,3,1,4,3,3,"Django, Java",0,2,0,40.4,Junior Developer,4.54
Tier 2,6.95,1,1,0,2,2,"AWS, JavaScript, HTML/CSS, Machine Learning, Linux",1,1,3,49.4,DevOps Engineer,9.78
Tier 1,7.26,0,3,1,2,1,"Machine Learning, Linux, SQL, Python, Deep Learning",2,1,2,61.8,Data Scientist,16.26
Tier 3,5.56,0,2,1,4,1,"AWS, Django, Linux",0,2,1,36.9,Web Developer,4.73
Tier 1,9.25,0,2,0,2,0,"Git, DSA, Docker",1,1,1,77.4,DevOps Engineer,19.37
Tier 1,8.4,1,0,1,3,4,"Linux, AWS, React, Java",0,3,1,58.9,DevOps Engineer,10.48
Tier 1,6.25,0,2,1,0,5,"Python, Deep Learning, PyTorch, HTML/CSS",2,1,1,55.1,Junior Developer,8.59
Tier 2,4.85,1,5,3,2,1,"DSA, Linux, AWS, Java",1,2,1,30.6,Junior Developer,4.6
Tier 2,6.84,2,1,0,4,1,DSA,1,0,0,39.3,Software Engineer,10.53
Tier 2,6.63,0,1,1,0,1,"AWS, PyTorch, JavaScript",1,1,1,55.2,Data Analyst,10.17
Tier 3,8.05,0,0,1,4,1,"Python, PyTorch, Java, JavaScript, HTML/CSS, Deep Learning",2,2,2,66.2,ML Engineer,16.95
Tier 1,8.03,0,1,0,0,0,"Node.js, Java, HTML/CSS, Python, Excel, React",0,4,2,55.3,Software Engineer,10.5
Tier 1,6.01,3,2,1,1,3,"DSA, React",1,1,0,48.9,Software Engineer,10.02
Tier 3,9.73,1,3,0,4,1,"HTML/CSS, React, JavaScript, Git",0,1,3,70.5,Web Developer,10.71
Tier 3,4.83,0,4,2,5,2,"SQL, JavaScript, HTML/CSS, Django",0,1,3,33.4,Junior Developer,3.52
Tier 3,7.35,2,3,0,8,1,"DSA, AWS",1,1,0,48.9,DevOps Engineer,16.04
Tier 3,7.62,0,3,1,3,3,"Machine Learning, Deep Learning, AWS, Node.js",2,2,0,70.3,Data Scientist,16.26
Tier 3,6.48,0,2,2,2,3,"Django, Excel, Java, TensorFlow, HTML/CSS",1,2,2,47.3,Backend Developer,10.0
Tier 2,7.96,0,3,1,0,0,"Django, HTML/CSS, Python",0,2,1,57.9,Backend Developer,10.12
Tier 2,6.38,2,1,0,0,1,"SQL, Java, Linux, JavaScript, Node.js",0,2,3,38.3,Backend Developer,7.57
Tier 3,6.77,0,2,2,2,3,"Django, Docker, Node.js, TensorFlow",1,3,0,48.1,Backend Developer,9.63
Tier 2,9.85,1,1,0,3,0,"AWS, JavaScript, Linux",0,1,2,67.1,DevOps Engineer,10.86
Tier 2,4.05,0,1,0,1,1,"Linux, JavaScript",0,0,2,29.7,Junior Developer,3.77
Tier 2,8.27,1,3,0,1,2,Excel,0,0,1,61.8,Data Analyst,6.41
Tier 2,7.15,0,0,0,1,1,"React, Deep Learning, AWS, Machine Learning, HTML/CSS",2,2,1,58.3,Data Scientist,15.75
Tier 3,7.32,0,4,0,3,2,"Docker, TensorFlow, JavaScript",1,1,1,54.9,Backend Developer,14.3
Tier 1,4.83,1,0,1,1,2,SQL,0,0,1,28.6,Junior Developer,3.48
Tier 1,8.21,0,4,0,3,2,"Git, Node.js, HTML/CSS, React, Linux, Docker",0,3,3,54.0,DevOps Engineer,10.43
Tier 3,6.81,2,2,0,3,3,"Django, Excel, Machine Learning, JavaScript, Python",1,2,2,47.6,Data Analyst,9.33
Tier 3,8.26,1,4,0,2,1,"Java, TensorFlow, PyTorch",2,1,0,60.8,ML Engineer,18.38
Tier 3,9.72,2,1,1,3,1,SQL,0,0,1,75.8,Backend Developer,6.27
Tier 2,6.49,2,2,0,0,3,"Node.js, HTML/CSS",0,1,1,42.1,Web Developer,8.05
Tier 2,10.0,1,6,0,2,3,"Python, PyTorch, Excel, DSA, Node.js, Docker",2,3,1,78.3,Backend Developer,17.93
Tier 2,4.97,0,2,0,1,2,JavaScript,0,0,1,44.0,Junior Developer,3.5
Tier 2,9.0,0,1,0,1,3,"Node.js, Excel, Python, Java, HTML/CSS",0,3,2,61.4,Backend Developer,10.07
Tier 2,10.0,0,3,0,0,2,"JavaScript, DSA, Machine Learning, Deep Learning, Git, AWS",3,1,2,82.4,Data Scientist,24.12
Tier 2,8.8,1,2,0,3,2,"Django, Docker",0,2,0,64.5,Backend Developer,10.17
Tier 2,6.89,0,2,0,1,2,"Machine Learning, Linux, SQL, DSA",2,0,2,56.4,Backend Developer,10.24
Tier 2,5.87,2,2,1,0,1,"Python, Excel, Git, PyTorch",1,1,2,47.0,Junior Developer,5.62
Tier 3,8.11,1,1,0,1,2,"HTML/CSS, React, PyTorch, TensorFlow, Git, SQL",2,1,3,63.7,Data Scientist,17.25
Tier 2,6.88,1,4,0,1,2,"Excel, DSA, AWS, Node.js, Django",1,3,1,44.4,Web Developer,10.03
Tier 2,5.04,1,2,0,4,2,"Docker, PyTorch, Deep Learning, HTML/CSS",2,1,1,46.6,Junior Developer,4.62
Tier 2,4.16,0,1,0,1,1,"Deep Learning, AWS, JavaScript",1,1,1,41.2,Junior Developer,4.23
Tier 3,7.69,1,3,0,1,2,"Linux, Deep Learning, Django",1,1,1,47.3,Backend Developer,14.23
Tier 1,7.29,0,3,0,3,2,"Git, JavaScript",0,0,2,50.6,Junior Developer,6.59
Tier 1,7.21,3,3,0,2,2,"HTML/CSS, Node.js",0,1,1,42.5,Web Developer,10.65
Tier 1,7.16,0,5,2,1,2,"PyTorch, Docker, Machine Learning",2,1,0,59.5,Backend Developer,15.86
Tier 2,8.51,0,2,0,3,0,"Python, JavaScript",0,1,1,54.2,Data Analyst,10.42
Tier 2,8.28,3,3,3,2,0,"Docker, SQL",0,1,1,49.9,Backend Developer,10.12
Tier 3,5.8,0,0,2,1,2,"Deep Learning, Django, SQL, DSA",2,1,1,44.0,Web Developer,6.3
Tier 2,6.74,2,2,3,1,1,"JavaScript, TensorFlow",1,0,1,47.4,Data Analyst,10.36
Tier 2,8.7,1,2,0,2,2,"Linux, Machine Learning, Docker, Deep Learning",2,1,1,65.5,Data Scientist,24.09
Tier 2,7.4,1,0,0,1,2,"Git, Excel",0,0,2,56.0,Data Analyst,6.08
Tier 2,4.0,2,2,4,4,1,"DSA, Deep Learning, PyTorch",3,0,0,34.8,Junior Developer,4.39
Tier 3,6.0,1,3,0,3,3,Django,0,1,0,43.5,Backend Developer,8.47
Tier 3,6.89,2,2,0,1,2,"TensorFlow, Deep Learning, PyTorch, AWS, JavaScript",3,1,1,61.9,Data Analyst,9.83
Tier 1,7.45,1,0,0,3,2,Django,0,1,0,44.8,Backend Developer,10.35
Tier 2,7.78,0,0,1,2,3,"Excel, Linux, JavaScript",0,0,3,60.4,Data Analyst,5.94
Tier 2,6.17,2,1,0,2,2,"HTML/CSS, Python",0,1,1,45.2,Junior Developer,8.14
Tier 2,7.68,2,0,1,2,0,"TensorFlow, Java, Git, Node.js, HTML/CSS",1,2,2,60.4,Software Engineer,15.8
Tier 2,9.16,0,1,0,1,2,"Java, Excel, Django, Node.js, PyTorch",1,3,1,67.1,Backend Developer,17.39
Tier 2,9.97,0,3,0,0,2,"TensorFlow, Node.js, Docker",1,2,0,70.8,Backend Developer,18.32
Tier 2,6.97,2,2,0,0,0,"Linux, AWS, Node.js",0,2,1,42.8,DevOps Engineer,7.92
Tier 2,9.16,1,1,1,0,1,"Linux, React, Git",0,1,2,68.0,DevOps Engineer,10.94
Tier 3,7.43,3,1,1,3,1,Node.js,0,1,0,45.8,Web Developer,8.74
Tier 2,7.74,1,4,0,1,0,"Node.js, Java, Django, Deep Learning",1,3,0,65.0,Backend Developer,15.92
Tier 2,5.0,3,1,1,2,4,"Excel, Git, AWS",0,1,2,38.9,Junior Developer,3.13
Tier 1,8.77,1,2,0,1,2,"DSA, Docker",1,1,0,73.7,Backend Developer,17.55
Tier 3,8.27,1,1,0,2,2,"JavaScript, SQL, DSA, HTML/CSS, TensorFlow, Deep Learning",3,0,3,69.6,Data Scientist,19.52
Tier 1,7.09,0,2,1,0,1,"Django, Excel, Deep Learning",1,1,1,45.9,Backend Developer,16.25
Tier 3,8.47,2,2,0,1,2,"Excel, Node.js, PyTorch",1,1,1,62.5,Data Analyst,12.89
Tier 1,6.77,1,3,3,2,1,"Node.js, Docker, Excel, React",0,3,1,50.1,Web Developer,8.33
Tier 2,5.75,0,2,1,1,5,"Git, Java, DSA",1,1,1,45.5,Junior Developer,6.32
Tier 2,8.33,0,3,2,4,3,"Java, JavaScript, Linux, Python, Git, TensorFlow",1,2,3,69.4,DevOps Engineer,20.11
Tier 3,7.68,2,1,0,0,1,"HTML/CSS, React, Deep Learning, Node.js, AWS",1,3,1,67.3,Web Developer,15.15
Tier 2,5.81,0,1,0,3,3,"Docker, HTML/CSS, JavaScript",0,1,2,27.7,Junior Developer,4.38
Tier 3,5.03,1,5,0,0,3,"SQL, Java, JavaScript",0,1,2,30.7,Junior Developer,3.52
Tier 3,4.97,0,2,0,2,1,Docker,0,1,0,34.2,Junior Developer,3.77
Tier 2,5.84,0,2,1,3,0,"TensorFlow, Machine Learning",2,0,0,51.7,Junior Developer,6.04
Tier 2,8.45,1,1,0,3,3,"Git, Docker, Python, AWS",0,3,1,61.5,DevOps Engineer,10.2
Tier 2,7.33,1,1,2,0,0,PyTorch,1,0,0,62.7,Junior Developer,9.29
Tier 1,5.16,1,2,1,2,1,"Linux, Machine Learning, PyTorch, DSA",3,0,1,49.7,Junior Developer,4.59
Tier 3,6.36,1,0,0,1,1,"Docker, Python",0,2,0,41.0,Backend Developer,6.73
Tier 3,6.09,1,4,0,4,1,"Machine Learning, Deep Learning, Git",2,0,1,50.8,Junior Developer,8.97
Tier 3,7.09,0,2,0,2,3,"Python, HTML/CSS",0,1,1,43.1,Junior Developer,8.06
Tier 1,8.46,1,0,1,3,1,"TensorFlow, Git, Python",1,1,1,64.1,Data Scientist,23.79
Tier 1,6.71,2,2,2,2,1,"Linux, React, HTML/CSS, Python",0,2,2,44.3,DevOps Engineer,8.35
Tier 2,7.68,0,0,0,0,4,"Django, DSA, React, Excel, JavaScript",1,2,2,61.4,Web Developer,15.39
Tier 3,7.98,2,2,0,0,0,"PyTorch, Linux, Node.js, TensorFlow, React",2,2,1,66.9,ML Engineer,16.02
Tier 3,4.84,1,0,1,2,0,"Linux, TensorFlow",1,0,1,34.0,Junior Developer,4.44
Tier 2,8.79,0,1,2,0,0,Django,0,1,0,57.8,Backend Developer,10.31
Tier 3,6.53,3,2,1,2,2,"Node.js, AWS, PyTorch, Django, SQL",1,3,1,50.7,Backend Developer,10.26
Tier 2,7.91,0,2,0,1,1,"Deep Learning, Linux, React",1,1,1,59.3,Data Scientist,16.17
Tier 2,7.14,2,1,0,2,3,"Linux, Machine Learning, Django",1,1,1,48.1,Backend Developer,16.34
Tier 2,5.66,1,1,2,4,1,"JavaScript, Linux",0,0,2,40.2,Junior Developer,5.32
Tier 3,6.73,0,1,0,0,3,"Deep Learning, HTML/CSS, AWS, Linux",1,1,2,51.7,DevOps Engineer,10.36
Tier 1,6.21,1,1,2,0,0,"Git, SQL, Python, Docker",0,2,2,47.1,Backend Developer,8.39
